marker_name,standardized_name,display_name,abbreviation,standard_unit,standard_range_min,standard_range_max,aggressive_target_min,aggressive_target_max,rationale_for_aggressive,clinical_significance,longevity_context,key_citations,measurement_method,loinc_code,loinc_name
24h Urinary Cortisol,24h_urinary_cortisol,24-Hour Urinary Cortisol,24h Cortisol,nmol/24h,,,,,,,,,,,
4-Point Cortisol Profile,4_point_cortisol,4-Point Cortisol,4-Pt Cortisol,profile,,,,,,,,,,,
ACTH,acth,Adrenocorticotropic Hormone,ACTH,pg/mL,7.2,63.3,15,50,,,,,,,
Active Calories,active_calories,Active Calories,Active Cal,kcal,,,,,,,,,,,
Activity Score,activity_score,Activity Score,Activity,score,,,,,,,,,,,
adiponectin,adiponectin,Adiponectin,,µg/mL,1.44,7.27,7,,Higher adiponectin improves insulin sensitivity and reduces inflammation associated with aging diseases.,Anti-inflammatory adipokine; low levels are linked to insulin resistance and cardiovascular risk.,Elevated adiponectin is associated with longevity through improved metabolic health and reduced inflammation.,"[""Lara-Castro et al. (2007) Curr Opin Lipidol""]",,,
afp,afp,Alpha-Fetoprotein,AFP,ng/mL,,10,,5,Lower thresholds improve early detection of hepatocellular carcinoma (HCC) and germ cell tumors.,Elevated in HCC, testicular cancer, and liver metastases.,Optimized AFP reduces mortality through early intervention in high-risk populations (cirrhosis, HBV/HCV).,"[""Johnson et al. (2019) J Hepatol""]",,,
albumin,albumin,Albumin,Alb,g/L,35,50,45,,Higher albumin reflects better nutritional status, hepatic function, and reduced inflammation burden.,Low albumin indicates malnutrition, chronic inflammation, or liver dysfunction.,Optimized albumin improves oncotic pressure, vascular health, and longevity outcomes in aging adults.,"[""Don & Kaysen (2004) Kidney Int Suppl""]",,,
alp,alp,Alkaline Phosphatase,ALP,U/L,30,120,40,90,Lower ALP reflects reduced bone turnover and hepatobiliary stress.,Elevated ALP may indicate bone disease, liver dysfunction, or bile duct obstruction.,Optimized ALP reduces risks of vascular calcification and chronic bone-related diseases in aging populations.,"[""Tonelli et al. (2009) J Am Soc Nephrol""]",,,
alpha_synuclein,alpha_synuclein,Alpha-Synuclein,α-syn,pg/mL,,50,,30,Lower levels reduce Lewy body pathology risk (Parkinson's, Lewy body dementia).,Elevated in synucleinopathies; predicts motor/cognitive decline.,Early detection enables targeted therapies for Parkinson's spectrum disorders.,"[""Mollenhauer et al. (2017) Mov Disord""]",,,
alt,alt,Alanine Aminotransferase,ALT,U/L,10,40,,30,Lower ALT reflects reduced liver inflammation and hepatocyte damage.,Elevated ALT suggests liver injury, fatty liver disease, or drug toxicity.,Optimized ALT reduces risks of liver-related complications and systemic inflammation.,"[""Kim et al. (2008) Gastroenterology""]",,,
Amyloid-Beta 42/40 Ratio,amyloid_beta_42_40_ratio,Amyloid Beta 42/40 Ratio,Aβ42/40,ratio,0.10,,0.15,,,,,,,,
amyloid_beta_ratio,amyloid_beta_ratio,Amyloid-Beta 42/40 Ratio,Aβ42/40,ratio,0.10,,0.15,,Higher ratio reduces amyloid plaque burden and Alzheimer's risk.,Low ratio predicts amyloid pathology and progression to AD.,Optimized ratio supports early intervention to delay cognitive decline.,"[""Schindler et al. (2019) Neurology""]",,,
anti_ccp,anti_ccp,Anti-CCP Antibodies,Anti-CCP,U/mL,,20,,10,Early RA detection and prognosis.,Specific for RA (95% specificity); predicts erosive disease.,Lower titers correlate with reduced radiographic progression.,"[""van Venrooij et al. (2011) Nat Rev Rheumatol""]",,,
anti_tg,anti_tg,Anti-Thyroglobulin Antibodies,Anti-Tg,IU/mL,,115,,20,Lower antibody levels reduce autoimmune thyroiditis progression risks.,Elevated antibodies indicate Hashimoto's thyroiditis risk or subclinical autoimmunity risk.,Reduced thyroid autoimmunity supports long-term thyroid function preservation critical for longevity.,"[""McLeod et al. (2014) Thyroid""]",,,
